Model,Mean Average Precision (mAP),mAP - SEM,mAP + SEM,ROC-AUC (macro mean),Mean ROC-AUC - SEM,Mean ROC-AUC + SEM,MCC-F1 summary (macro mean),Mean MCC-F1 summary - SEM,Mean MCC-F1 summary + SEM
PlmDomainsLogisticRegression__esm-2_with_minor_reactions,0.855666689,0.818914386,0.892418991,0.990265914,0.982651235,0.997880594,0.483267236,0.469664592,0.496869881
PlmDomainsLogisticRegression__ankh_base_with_minor_reactions_global_tuning,0.852861717,0.820048073,0.885675362,0.989955488,0.983388356,0.996522619,0.480275106,0.468004301,0.492545911
PlmDomainsLogisticRegression__tps_ankh_base_with_minor_reactions_global_tuning,0.851737883,0.818842978,0.884632788,0.989831723,0.983254882,0.996408564,0.479989288,0.467551992,0.492426584
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions,0.851087562,0.819447442,0.882727683,0.991043553,0.984636506,0.997450599,0.482311564,0.46878169,0.495841437
PlmDomainsMLP__ankh_large_with_minor_reactions,0.848456137,0.806221595,0.890690679,0.995572879,0.992045178,0.999100581,0.485955861,0.470211961,0.501699761
PlmXgb__ankh_base_with_minor_reactions,0.848160886,0.809091458,0.887230314,0.994257054,0.98925656,0.999257549,0.4980712,0.48053974,0.51560266
PlmDomainsLogisticRegression__ankh_base_with_minor_reactions,0.848082124,0.814399048,0.881765201,0.989099505,0.981701231,0.996497779,0.478433868,0.465755725,0.491112011
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,0.847596648,0.813709133,0.881484163,0.991875937,0.987176674,0.9965752,0.479609678,0.467127805,0.49209155
PlmDomainsMLP__tps_ankh_base_with_minor_reactions,0.837604483,0.803948357,0.87126061,0.995669085,0.993015561,0.998322609,0.483324175,0.46986312,0.49678523
PlmDomainsMLP__ankh_base_with_minor_reactions,0.837604483,0.803948357,0.87126061,0.995669085,0.993015561,0.998322609,0.483324175,0.46986312,0.49678523
Blastp__with_minor_reactions,0.710874987,0.670717771,0.751032202,0.916029543,0.896311087,0.935747999,0.224238397,0.221579534,0.22689726
Foldseek__with_minor_reactions,0.554310132,0.506500387,0.602119876,0.846984653,0.828184304,0.865785002,0.225773923,0.224908527,0.22663932
HMM__with_minor_reactions,0.410160757,0.366892568,0.453428947,0.97618906,0.970840496,0.981537624,0.456454543,0.424969187,0.487939898
CLEAN__with_minor_reactions,0.36475229,0.331322678,0.398181901,0.771726716,0.756748099,0.786705334,0.38529797,0.371613545,0.398982394
