Model,Mean Average Precision (mAP),mAP - SEM,mAP + SEM,ROC-AUC (macro mean),Mean ROC-AUC - SEM,Mean ROC-AUC + SEM,MCC-F1 summary (macro mean),Mean MCC-F1 summary - SEM,Mean MCC-F1 summary + SEM
PlmDomainsRandomForest__esm-2_with_minor_reactions,0.8582949293733413,0.8198043757152543,0.8967854830314282,0.9917422548029204,0.9878101712799691,0.9956743383258718,0.5766060172783667,0.5572901394195688,0.5959218951371645
PlmDomainsRandomForest__tps_esm-1v_with_minor_reactions,0.8891603655645498,0.8628912202151047,0.9154295109139949,0.9925855374996009,0.988661953682188,0.9965091213170137,0.5804983958030306,0.5629243885413738,0.5980724030646875
PlmDomainsRandomForest__ankh_large_with_minor_reactions,0.8832546377986555,0.8584862275224615,0.9080230480748496,0.9920984269869777,0.988154047613212,0.9960428063607434,0.5734687708362552,0.5541406207871262,0.5927969208853843
CLEAN__with_minor_reactions,0.36255532151563946,0.3205340844054296,0.40457655862584935,0.7467435261865902,0.7255646546370494,0.767922397736131,0.3719004449747476,0.35469638872594067,0.38910450122355456
PlmDomainsMLP__esm-2_with_minor_reactions_global_tuning,0.8905124397883385,,,0.9947415450993261,,,0.4886086380349365,,
PlmDomainsMLP__tps_ankh_base_with_minor_reactions,0.8431856702336016,0.807228546515157,0.8791427939520462,0.9933173695360898,0.9902801600646843,0.9963545790074954,0.4853418390990141,0.4723402228558255,0.49834345534220276
PlmDomainsMLP__tps_esm-1v_with_minor_reactions_global_tuning,0.8813531894341623,0.8577949640067206,0.904911414861604,0.994433841343704,0.9922279654167572,0.9966397172706509,0.4921953298747061,0.48111929750814136,0.5032713622412709
PlmDomainsMLP__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.8889556300130596,0.8602998509902399,0.9176114090358792,0.9943774198668806,0.9921229728289727,0.9966318669047884,0.49314179804008307,0.48153707504007487,0.5047465210400913
PlmDomainsMLP__esm-1v_with_minor_reactions_global_tuning,0.8421447725238109,,,0.9925933613648901,,,0.4918551862696632,,
PlmDomainsMLP__tps_ankh_base_with_minor_reactions_global_tuning,0.872705910276804,,,0.9954040695740762,,,0.5040753588584898,,
PlmDomainsMLP__esm-1v_with_minor_reactions,0.8494805181461929,0.8063396876331659,0.8926213486592198,0.9923017375886929,0.9888653837393179,0.9957380914380679,0.48929957493500903,0.4769734393894688,0.5016257104805493
